Runner,Game,Category,Run name,Run link
Gimme_Dopamine,Bloodborne,All Main Game Bosses,Bloodborne All Main Game Bosses No Hit,https://youtu.be/qG9QQzxgXzE
Gimme_Dopamine,Resident Evil Remake,Hard Difficulty,Resident Evil No Hit Run – Jill Best Ending (World’s First),https://youtu.be/dM8sVazG9wo
Gimme_Dopamine,Crash Bandicoot,Any%,Crash Bandicoot Any% No Hit – No Triple Mask (World’s First),https://youtu.be/zLNkluZnTrg
davidtankre,Dark Souls III,Any%,Dark Souls III Any% No Hit,https://youtu.be/NseZz5v9lT0
davidtankre,Dark Souls III,Any%,Dark Souls III Any% No Hit – SL1,https://youtu.be/Np2sdK5V5R0
davidtankre,Dark Souls III,All Main game Bosses,Dark Souls III All Main Game Bosses No Hit – SL1 (World’s First),https://youtu.be/W9hCKGk9YJQ
davidtankre,Bloodborne,Any%,Bloodborne Any% No Hit,https://youtu.be/2166qaEyUGg
miltymilt,Dark Souls III,Any%,Dark Souls III Any% No Hit,https://youtu.be/1BfGLfJf8i4
miltymilt,Demon's Souls: Classic,Any%,Demon’s Souls Any% No Hit – SL1 (World’s First),https://youtu.be/fCQfiRp4Jpg
miltymilt,Demon's Souls: Classic,All Bosses,Demon’s Souls All Bosses No Hit (World’s First),https://youtu.be/AMGSQrnT15A
miltymilt,Demon's Souls: Classic,All Bosses,Demon’s Souls All Bosses No Hit – Temple Knight (World’s First),https://youtu.be/F0dIB49c3vs
Imapi,Dark Souls,Any%,Dark Souls Any% No Hit,https://www.youtube.com/watch?v=O04-7yW5umI&list=PL3jN04jw-g7Fq7hyFdTYa1Ey2iiIOB_ca&index=2&t=0s
Imapi,Dark Souls II,Any%,Dark Souls II Any% No Hit,https://youtu.be/gQgpdnWf2PM
Imapi,Dark Souls III,All Bosses,Dark Souls III All Bosses No Hit,https://youtu.be/O6GhCKdSoQ8
Imapi,Bloodborne,Any%,Bloodborne Any% No Hit,https://www.youtube.com/watch?v=pyADJXAi8TQ
Imapi,Sekiro,Shura Ending Ending,Sekiro Shura Ending No Hit,https://www.twitch.tv/videos/1184115825
Imapi,Sekiro,Immortal Severance Ending,Sekiro Immortal Severance Ending No Hit,https://www.twitch.tv/videos/1178801845
heyZeusHeresToast,Bloodborne,Any%,Bloodborne Any% No Hit (World’s First),https://www.twitch.tv/videos/151923385
Kwitty23,Bloodborne,Any%,Bloodborne Any% No Hit,https://www.youtube.com/watch?v=ZKBXi6AzG2s
Kwitty23,Bloodborne,Any%,"Bloodborne Any% No Hit – BL4, No Roll/No Quickstep (World’s First)",https://www.youtube.com/watch?v=M4v9X-URqM0
Kwitty23,Bloodborne,All Main Game Bosses,Bloodborne All Main Game Bosses No Hit,https://www.youtube.com/watch?v=asb6N_NH7LY&t=6170s
Kwitty23,Bloodborne,All Bosses,Bloodborne All Bosses No Hit,https://www.youtube.com/watch?v=5P8Oy9Yb8Rg
Kwitty23,Sekiro,Immortal Severance Ending,Sekiro Immortal Severance Ending No Damage,https://www.youtube.com/watch?v=f7bIgrT0EEg
falckenhaus,Bloodborne,Any%,Bloodborne Any% No Hit,https://www.youtube.com/watch?v=9Cdrwh5hCnA&feature=youtu.be
DonnyRekt,Dark Souls,Dark Souls,Dark Souls Any% No Hit,https://www.twitch.tv/videos/319366110?filter=highlights&sort=time
DonnyRekt,Dark Souls II,Any%,Dark Souls II Any % No Hit,https://www.twitch.tv/videos/347932700?filter=highlights&sort=time
DonnyRekt,Dark Souls III,Any%,Dark Souls III Any% No Hit,https://www.twitch.tv/videos/264828404?filter=highlights&sort=time
DonnyRekt,Dark Souls III,All Main Game Bosses,Dark Souls III All Bosses No Hit,https://www.twitch.tv/videos/450418800?filter=highlights&sort=time
DonnyRekt,Bloodborne,Any%,Bloodborne Any% No Hit,https://www.twitch.tv/videos/162290152?filter=highlights&sort=time
DonnyRekt,Bloodborne,Any%,Bloodborne Any% No Hit – BL4,https://www.twitch.tv/videos/271789957?filter=highlights&sort=time
DonnyRekt,Bloodborne,All Main Game Bosses,Bloodborne All Bosses No Hit,https://www.twitch.tv/videos/216487492?filter=highlights&sort=time
DonnyRekt,Bloodborne,All Bosses,Bloodborne All Bosses No Hit,https://www.twitch.tv/videos/297858723?filter=highlights&sort=time
DonnyRekt,Demon's Souls: Classic,All Bosses,Demon’s Souls All Bosses No Hit,https://www.twitch.tv/videos/391857895?filter=highlights&sort=time
DonnyRekt,Sekiro,Immortal Severance Ending,Sekiro Immortal Severance Ending No Damage,https://www.twitch.tv/videos/434874077?filter=highlights&sort=time
CouchJockey,Dark Souls III,Any%,Dark Souls III Any% No Hit – Pyromancy Only (World’s First),https://www.youtube.com/watch?v=XVBG2tF895o
CouchJockey,Dark Souls III,All Main Game Bosses,Dark Souls III All Main Game Bosses No Hit – Pyromancy Only (World’s First),https://www.youtube.com/watch?v=VwPQZtlpNC8
CouchJockey,Dark Souls III,All Main Game Bosses,Dark Souls III All Main Game Bosses No Hit – Sorcery Only (World’s First),https://www.twitch.tv/videos/205997655?filter=highlights&sort=time
CouchJockey,Dark Souls III,All Main Game Bosses,Dark Souls III All Main Game Bosses No Hit – Miracles Only (World’s First),https://www.twitch.tv/videos/339622731?filter=highlights&sort=time
CouchJockey,Dark Souls III,All Bosses,Dark Souls III All Bosses No Hit – Pyromancy Only (World’s First),https://www.twitch.tv/videos/360731077?filter=highlights&sort=time
Xenosum,Dark Souls,Any%,Dark Souls Any % No Hit – Bowless (World’s First),https://www.youtube.com/watch?v=5giHlhI1kw4
Xenosum,Dark Souls,Any%,Dark Souls Any % No Hit – Rangless (World’s First),https://www.youtube.com/watch?v=WNDFcQDJoB0
Xenosum,Dark Souls,Any%,Dark Souls Any % No Hit – SL1 (World’s First),https://www.youtube.com/watch?v=rTxP9sHa8Zs
Xenosum,Dark Souls,Any%,Dark Souls Any % No Hit – Sorcery Only (World’s First),https://www.youtube.com/watch?v=MTtq168erHY
Xenosum,Dark Souls,Any%,Dark Souls Any % No Hit – Pyromancy Only (World’s First),https://www.youtube.com/watch?v=47YxB94DFU0
Xenosum,Dark Souls,Any%,Dark Souls Any % No Hit – Bow Only (World’s First),https://www.youtube.com/watch?v=CzpzH1KqYBI
Xenosum,Dark Souls,Any%,Dark Souls Any % No Damage (World’s First),https://www.youtube.com/watch?v=mGoqArNZOYA
Xenosum,Dark Souls,All Bosses,Dark Souls All Bosses No Hit,https://www.youtube.com/watch?v=R-OqqlOXbKU
Xenosum,Dark Souls,All Bosses,Dark Souls All Bosses No Hit – Bowless (World’s First),https://www.youtube.com/watch?v=R-OqqlOXbKU
Xenosum,Dark Souls,All Bosses,Dark Souls All Bosses No Hit – SL1 (World’s First),https://www.youtube.com/watch?v=CIOfL6oY75s
Xenosum,Sekiro,Shura,Sekiro Shura Ending No Hit (World’s First),https://www.youtube.com/watch?v=iUvaIUpxTpY
Xenosum,Sekiro,Immortal Severance,Sekiro Immortal Severance Ending No Hit,https://www.youtube.com/watch?v=o_mxzEW4k0s
McDrunkard,Dark Souls II,Any%,Dark Souls II Any% No Hit,https://www.youtube.com/watch?v=g9XeLSK9HAY
McDrunkard,Dark Souls II,Any%,Dark Souls II Any% No Hit – Bow Only (World’s First),https://www.youtube.com/watch?v=WqZWtEghpJY
McDrunkard,Dark Souls II,Any%,Dark Souls II Any% No Hit – Sorcery Only (World’s First),https://www.youtube.com/watch?v=Ln19SQSGFQg
McDrunkard,Dark Souls II,Any%,Dark Souls II Any% No Hit – Hexes Only (World’s First),https://www.youtube.com/watch?v=cO4Zr_jmMmQ
McDrunkard,Dark Souls II,Any%,Dark Souls II Any% No Hit – Pate’s Spear Only (World’s First),https://www.youtube.com/watch?v=cO4Zr_jmMmQ
GinoMachino,Dark Souls,Any%,Dark Souls Any % No Hit,https://www.twitch.tv/videos/436676194?filter=highlights&sort=time
GinoMachino,Dark Souls II,Any%,Dark Souls II Any % No Hit,https://www.twitch.tv/videos/864661423
GinoMachino,Dark Souls II,Any%,Dark Souls II Any % No Hit – No Upgrades/No Infusions (World’s First),https://www.twitch.tv/videos/398278474?filter=highlights&sort=time
GinoMachino,Dark Souls II,All Bosses,Dark Souls II All Bosses + DLCs (SOFTS),https://www.twitch.tv/videos/778081937
GinoMachino,Dark Souls III,Any%,Dark Souls III Any % No Hit,https://www.twitch.tv/videos/188030320?filter=highlights&sort=time
GinoMachino,Dark Souls III,Any%,Dark Souls III Any % No Hit – SL1,https://www.twitch.tv/videos/212173753?filter=highlights&sort=time
GinoMachino,Dark Souls III,Any%,Dark Souls III Any % No Hit – Thief Class (World’s First),https://www.twitch.tv/videos/213190135?filter=highlights&sort=time
GinoMachino,Dark Souls III,Any%,Dark Souls III Any % No Damage,https://www.twitch.tv/videos/237547656?filter=highlights&sort=time
GinoMachino,Dark Souls III,Any%,Dark Souls III Any % – No Upgrades/No Infusions (World’s First),https://www.twitch.tv/videos/272154758?filter=highlights&sort=time
GinoMachino,Dark Souls III,Any%,Dark Souls III Any % No Hit – No Bonfire (World’s First),https://www.twitch.tv/videos/321219898?filter=highlights&sort=time
GinoMachino,Dark Souls III,Any%,Dark Souls III Any % No Hit – Pyromancy Only,https://www.twitch.tv/videos/324042358?filter=highlights&sort=time
GinoMachino,Dark Souls III,Any%,"Dark Souls III Any % – SL1, No Upgrades/No Infusions (World’s First)",https://www.twitch.tv/videos/338756965?filter=highlights&sort=time
GinoMachino,Dark Souls III,Any%,Dark Souls III Any % – Bare Fist (World’s First),https://www.twitch.tv/videos/438336532?filter=highlights&sort=time
GinoMachino,Dark Souls III,Any%,Dark Souls III Any % No Hit – Miracles Only,https://www.twitch.tv/videos/595966555
GinoMachino,Dark Souls III,Any%,Dark Souls III Any % No Hit – Sorcery Only,https://www.twitch.tv/videos/597915756
GinoMachino,Dark Souls III,Any%,Dark Souls III Any % No Hit – Fume Ultra Greatsword (World’s First),https://www.twitch.tv/videos/682744464
GinoMachino,Dark Souls III,All Main Game Bosses,Dark Souls III All Main Game Bosses No Hit,https://www.twitch.tv/videos/220725887?filter=highlights&sort=time
GinoMachino,Dark Souls III,All Main Game Bosses,Dark Souls III All Main Game Bosses + DLC 1 – No Upgrades/No Infusions (World’s First),https://www.twitch.tv/videos/283214669?filter=highlights&sort=time
GinoMachino,Dark Souls III,All Main Game Bosses,Dark Souls III All Bosses No Hit – No Bonfire (World’s First),https://www.twitch.tv/videos/538863778
GinoMachino,Dark Souls III,All Bosses,Dark Souls III All Bosses No Hit,https://www.twitch.tv/videos/292135289?filter=highlights&sort=time
GinoMachino,Dark Souls III,All Bosses,Dark Souls III All Bosses – SL1,https://www.twitch.tv/videos/297560859?filter=highlights&sort=time
GinoMachino,Dark Souls III,All Bosses,Dark Souls III All Bosses – No Upgrades/No Infusions (World’s First),https://www.twitch.tv/videos/316933790?filter=highlights&sort=time
GinoMachino,Dark Souls III,All Bosses,"Dark Souls III All Bosses – SL1, No Upgrades/No Infusions (World’s First)",https://www.youtube.com/watch?v=lPILfIlybmw&list=PLT8AfsFU43U5rc6nD1JXmzvxomMY6walx&index=2&t=0s
GinoMachino,Elden Ring,Any%,Elden Ring Any% No Hit,https://www.youtube.com/watch?v=geC1VFW9MgU
GinoMachino,Sekiro,Shura,Sekiro Shura Ending No Damage (World’s First),https://www.twitch.tv/videos/410344594?filter=highlights&sort=time
GinoMachino,Sekiro,Immortal Severance,Sekiro Immortal Severance Ending No Damage (World’s First),https://www.twitch.tv/videos/408904680?filter=highlights&sort=time
Thetoastywolf,Bloodborne,Any%,Bloodborne Any% No Hit,https://www.youtube.com/watch?v=9Cdrwh5hCnA&feature=youtu.be
Thetoastywolf,Dark Souls III,All Main Game Bosses,Dark Souls III All Main Game Bosses No Hit,https://youtu.be/yUa9vq_T4Gw
MarcussMcV96,Dark Souls,Any%,Dark Souls Any% No Hit,https://youtu.be/rsLYRV2PCOA
MarcussMcV96,Dark Souls II,Any%,Dark Souls II Any% No Hit,https://youtu.be/dCbTOGnFkj8
MarcussMcV96,Dark Souls III,Any%,Dark Souls III Any% No Hit,https://youtu.be/bRT04luWgmQ
